TODS	ACM Transactions on Database Systems
TOIS	ACM Transactions on Information Systems
TKDE	IEEE Transactions on Knowledge and Data Engineering
VLDBJ	VLDB Journal
TKDD	ACM Transactions on Knowledge Discovery from Data
AEI	Advanced Engineering Informatics
DKE	Data and Knowledge Engineering
DMKD	Data Mining and Knowledge Discovery
EJIS	European Journal of Information Systems GeoInformatica
IPM	Information Processing and Management
InfoSci	Information Sciences
IS	Information Systems
JASIST	Journal of the American Society for Information Science and Technology
JWS	Journal of Web Semantics
KIS	Knowledge and Information Systems
TWEB	ACM Transactions on the Web
AI	Artificial Intelligence
TPAMI	IEEE Trans on Pattern Analysis and Machine Intelligence
IJCV	International Journal of Computer Vision
JMLR	Journal of Machine Learning Research
TAP	ACM Transactions on Applied Perception
TSLP	ACM Transactions on Speech and Language Processing
CompLing	Computational Linguistics
CVIU	Computer Vision and Image Understanding
DKE	Data and Knowledge Engineering
EvoComp	Evolutionary Computation
TAC	IEEE Transactions on Affective Computing
TASLP	IEEE Transactions on Audio, Speech, and Language Processing
TranCyber	IEEE Transactions on Cybernetics
TEC	IEEE Transactions on Evolutionary Computation
TFS	IEEE Transactions on Fuzzy Systems
TNNLS	IEEE Transactions on Neural Networks and learning systems
IJAR	International Journal of Approximate Reasoning
JAIR	Journal of AI Research
JourAR	Journal of Automated Reasoning
JSLHR	Journal of Speech, Language, and Hearing Research
MachLearn	Machine Learning
NeuComp	Neural Computation
NeuNet	Neural Networks
PattRecog	Pattern Recognition
AAMAS	Autonomous Agents and Multi-Agent Systems
SIGMOD	ACM Conference on Management of Data
SIGKDD	ACM Knowledge Discovery and Data Mining
SIGIR	International Conference on Research on Development in Information Retrieval
VLDB	International Conference on Very Large Data Bases
ICDE	IEEE International Conference on Data Engineering
CIKM	ACM International Conference on Information and Knowledge Management
PODS	ACM SIGMOD Conference on Principles of DB Systems
DASFAA	Database Systems for Advanced Applications
ECML-PKDD	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases
ISWC	IEEE International Semantic Web Conference
ICDM	International Conference on Data Mining
ICDT	International Conference on Database Theory
EDBT	International Conference on Extending DB Technology
CIDR	International Conference on Innovation Database Research
SDM	SIAM International Conference on Data Mining
WSDM	ACM International Conference on Web Search and Data Mining
AAAI	AAAI Conference on Artificial Intelligence
CVPR	IEEE Conference on Computer Vision and Pattern Recognition
ICCV	International Conference on Computer Vision
ICML	International Conference on Machine Learning
IJCAI	International Joint Conference on Artificial Intelligence
NIPS	Annual Conference on Neural Information Processing Systems
ACL	Annual Meeting of the Association for Computational Linguistics
COLT	Annual Conference on Computational Learning Theory
EMNLP	Conference on Empirical Methods in Natural Language Processing
ECAI	European Conference on Artificial Intelligence
ECCV	European Conference on Computer Vision
ICRA	IEEE International Conference on Robotics and Automation
ICAPS	International Conference on Automated Planning and Scheduling
ICCBR	International Conference on Case-Based Reasoning
COLING	International Conference on Computational Linguistics
KR	International Conference on Principles of Knowledge Representation and Reasoning
UAI	International Conference on Uncertaintyin Artificial Intelligence
AAMAS	International Joint Conference on Autonomous Agents and Multi-agent Systems
PPSN	Parallel Problem Solving from Nature
